"botanisch","deutsch","kategorie"
"Prunus lusitanica 'Angustifolia'","Portugiesische Lorbeerkirsche","Laubgehölze"
"Prunus padus","Trauben-Kirsche","Laubgehölze"
"Prunus persica 'Sorte'","Pfirsich","Obstgehölze"
"Prunus serrulata 'Amanogawa'","Japanische Säulen-Kirsche","Laubgehölze"
"Prunus serrulata 'Kanzan'","Japanische Nelken-Kirsche","Laubgehölze"
"Prunus spinosa","Schlehe, Schwarzdorn","Laubgehölze"
"Pseudotsuga menziesii","Douglasie","Nadelgehölze"
"Pulmonaria saccharata 'Mrs. Moon'","Geflecktes Lungenkraut, Spanisches Lungenkraut","Stauden"
"Pulsatilla vulgaris","Gewöhnliche Küchenschelle, Kuhschelle, Kühchenschelle","Heimische, besonders geschützte Pflanzen"
"Pulsatilla vulgaris","Küchenschelle, Kuhschelle","Stauden"
"Punica granatum","Granatapfel, Granatbaum","Pflanzen für die Innenraum-Begrünung"
"Pyracantha 'Orange Glow'","Feuerdorn","Laubgehölze"
"Pyrus calleryana 'Chanticleer'","Chinesische Wild-Birne","Laubgehölze"
"Pyrus communis 'Sorte'","Birne, Kultur-Birne","Obstgehölze"
"Quercus ilex","Stein-Eiche","Pflanzen für die Innenraum-Begrünung"
"Quercus palustris","Sumpf-Eiche, Boulevard-Eiche","Laubgehölze"
"Quercus robur","Stiel-Eiche, Deutsche Eiche","Laubgehölze"
"Quercus rubra","Amerikanische Rot-Eiche","Laubgehölze"
"Rhododendron 'Baden-Baden' (Forrestii-Gruppe)","Flacher Rhododendron","Laubgehölze"
"Rhododendron 'Canzonetta' (Japanische Azaleen)","Japanische Azalee","Laubgehölze"
"Rhododendron 'Catawbiense Grandiflorum' (Catawbiense-Gruppe)","Großblumiger Rhododendron","Laubgehölze"
"Rhododendron 'Elite' (Syn.: Rhododendron 'P.J.M. Elite') (Dauricum-Gruppe)","Rhododendron, Alpenrose","Laubgehölze"
"Rhododendron luteum","Pontische Azalee","Laubgehölze"
"Rhus typhina","Essigbaum, Hirschkolben-Sumach","Laubgehölze"
"Ribes alpinum","Alpen-Johannisbeere","Laubgehölze"
"Ribes rubrum  'Sorte'","Rote Johannisbeere, Weiße Johannisbeere","Obstgehölze"
"Ribes sanguineum 'Atrorubens'","Blut-Johannisbeere","Laubgehölze"
"Ribes uva-crispa  'Sorte'","Stachelbeere, Kultur-Stachelbeere","Obstgehölze"
"Robinia pseudoacacia 'Bessoniana'","Kegel-Robinie","Laubgehölze"
"Robinia pseudoacacia 'Tortuosa'","Korkenzieher-Robinie","Laubgehölze"
"Robinia pseudoacacia 'Umbraculifera'","Kugel-Robinie","Laubgehölze"
"Robinia pseudoacacia 'Unifoliola'","Einblättrige Robinie, Straßen-Robinie","Laubgehölze"
"Rodgersia aesculifolia","Kastanien-Schaublatt, Rodgersie","Stauden"
"Rosa 'Alexander von Humboldt' (Kleinstrauch-Rosen)","Kleinstrauch-Rose, Bodendecker-Rose","Laubgehölze"
"Rosa 'Anastasia' (Edel-Rosen)","Edel-Rose","Laubgehölze"
"Rosa 'Château de Cheverny'® (Strauch-Rosen)","Strauch-Rose","Laubgehölze"
"Rosa 'Moscalbo'® (Kletter-Rosen)","Kletter-Rose","Laubgehölze"
"Rosa 'SEE YOU'® in pink (Beet-Rosen)","Beet-Rose","Laubgehölze"
"Rosa canina","Hunds-Rose","Laubgehölze"
"Rosa rugosa","Kartoffel-Rose, Apfel-Rose","Laubgehölze"
"Rubus fruticosus  'Sorte'","Brombeere, Kultur-Brombeere","Obstgehölze"
"Rubus idaeus 'Sorte'","Himbeere, Kultur-Himbeere","Obstgehölze"
"Rudbeckia fulgida 'Goldsturm'","Sonnenhut","Stauden"
"Rumex acetosa","Wiesen-Sauer-Ampfer, Großer Sauerampfer","Unkräuter, Wildkräuter"
"Sagittaria sagittifolia","Gewöhnliches Pfeilkraut","Sumpf- und Wasserpflanzen"
"Salix caprea 'Atlas'","Kätzchen-Weide","Laubgehölze"
"Salix purpurea","Purpur-Weide, Korb-Weide","Laubgehölze"
"Salix x sepulcralis 'Chrysocoma'","Hänge-Weide, Trauer-Weide","Laubgehölze"
"Salvia nemorosa 'Mainacht'","Steppen-Salbei","Stauden"
"Sambucus nigra","Schwarzer Holunder, Fliederbeere","Laubgehölze"
"Saxifraga paniculata","Trauben-Steinbrech, Rispen-Steinbrech","Stauden"
"Scilla bifolia","Zweiblättriger Blaustern, Scilla","Heimische, besonders geschützte Pflanzen"
"Scilla siberica","Sibirischer Blaustern, Nickende Sternhyazinthe","Zwiebel- und knollenbildende Pflanzen"
"Sedum 'Herbstfreude'","Hohe Garten-Fetthenne","Stauden"
"Sedum acre","Scharfer Mauerpfeffer, Scharfe Fetthenne","Stauden"
"Sequoiadendron giganteum","Bergmammutbaum, Riesenmammutbaum","Nadelgehölze"
"Skimmia japonica","Frucht-Skimmie, Japanische Skimmie","Laubgehölze"
"Solidago 'Strahlenkrone'","Garten-Goldrute","Stauden"
"Solidago canadensis","Kanadische Goldrute","Unkräuter, Wildkräuter"
"Sorbus aucuparia","Gewöhnliche Eberesche, Vogelbeere","Laubgehölze"
"Sorbus intermedia 'Brouwers'","Schwedische Mehlbeere, Oxelbeere","Laubgehölze"
"Spiraea japonica 'Anthony Waterer'","Rote Sommer-Spiere","Laubgehölze"
"Spiraea japonica 'Little Princess'","Rosa Zwerg-Spiere","Laubgehölze"
"Spiraea x arguta","Braut-Spiere, Schnee-Spiere","Laubgehölze"
"Stachys byzantina","Woll-Ziest","Stauden"
"Stipa pennata","Echtes Federgras, Mädchenhaargras","Ziergräser"
"Styphnolobium japonicum","Japanischer Schnurbaum","Laubgehölze"
"Symphoricarpos x chenaultii 'Hancock'","Niedrige Purpurbeere, Niedrige Bastard-Korallenbeere","Laubgehölze"
"Symphytum grandiflorum","Kleiner Kaukasus-Beinwell, Kaukasus-Wallwurz","Stauden"
"Syringa vulgaris 'Charles Joly'","Edel-Flieder","Laubgehölze"
"Tagetes patula 'Sorte'","Studentenblume, Tagetes, Sammetblume","Beet- und Balkonpflanzen, Wechselflor"
"Tamarix parviflora","Rosa Frühlings-Tamariske","Laubgehölze"
"Taraxacum sect. Ruderalia","Wiesen-Kuhblumen, Wiesen-Löwenzähne","Unkräuter, Wildkräuter"
"Taxus baccata","Gewöhnliche Eibe","Heimische, besonders geschützte Pflanzen"
"Taxus baccata","Gewöhnliche Eibe","Nadelgehölze"
"Taxus baccata 'Repandens'","Kissen-Eibe, Tafel-Eibe","Nadelgehölze"
"Taxus x media 'Hicksii'","Fruchtende Becher-Eibe","Nadelgehölze"
"Thalictrum aquilegiifolium","Akeleiblättrige Wiesenraute","Stauden"
"Thuja occidentalis 'Brabant'","Abendländischer Lebensbaum","Nadelgehölze"
"Thymus serpyllum","Sand-Thymian, Feld-Thymian","Stauden"
"Tiarella cordifolia","Herzblättrige Schaumblüte, Wald-Schaumblüte","Stauden"
"Tilia cordata","Winter-Linde","Laubgehölze"
"Tilia platyphyllos","Sommer-Linde","Laubgehölze"
"Tilia x europaea 'Pallida'","Kaiser-Linde","Laubgehölze"
"Trachycarpus fortunei","Chinesische Hanfpalme","Pflanzen für die Innenraum-Begrünung"
"Trifolium repens","Weiß-Klee, Kriechender Klee","Unkräuter, Wildkräuter"
"Trollius 'Goldquelle'","Garten-Trollblume","Stauden"
"Trollius europaeus","Europäische Trollblume","Heimische, besonders geschützte Pflanzen"
"Tsuga canadensis","Kanadische Hemlocktanne","Nadelgehölze"
"Tulipa 'Sorte'","Garten-Tulpe","Zwiebel- und knollenbildende Pflanzen"
"Tulipa 'Sorte' (12 = Kaufmanniana-Tulpen)","Botanische Tulpe, Seerosen-Tulpe","Zwiebel- und knollenbildende Pflanzen"
"Tulipa 'Sorte' (13 = Fosteriana-Tulpen)","Pfauen-Tulpe, Botanische Tulpe","Zwiebel- und knollenbildende Pflanzen"
"Tulipa sylvestris","Wilde Tulpe, Weinberg-Tulpe","Heimische, besonders geschützte Pflanzen"
"Tussilago farfara","Huflattich","Unkräuter, Wildkräuter"
"Typha angustifolia","Schmalblättriger Rohrkolben","Sumpf- und Wasserpflanzen"
"Ulmus 'Lobel'","Schmalkronige Stadt-Ulme","Laubgehölze"
"Ulmus 'New Horizon'Ⓢ (RESISTA®)","Resista®-Ulme 'New Horizon'","Laubgehölze"
"Ulmus glabra","Berg-Ulme, Weißrüster","Laubgehölze"
"Urtica dioica","Große Brennnessel","Unkräuter, Wildkräuter"
"Verbascum nigrum","Schwarze Königskerze","Stauden"
"Veronica austriaca 'Knallblau'","Großer Garten-Ehrenpreis","Stauden"
"Veronica longifolia","Langblättriger Ehrenpreis, Langblättriger Blauweiderich","Stauden"
"Veronicastrum virginicum 'Diana'","Kandelaberehrenpreis, Virginischer Arzneiehrenpreis","Stauden"
"Viburnum lantana","Wolliger Schneeball","Laubgehölze"
"Viburnum opulus","Gewöhnlicher Schneeball, Wasser-Schneeball","Laubgehölze"
"Viburnum x bodnantense 'Dawn'","Winter-Schneeball, Bodnant-Schneeball","Laubgehölze"
"Vinca minor","Kleines Immergrün, Kleines Singrün","Laubgehölze"
"Viola odorata","März-Veilchen, Duft-Veilchen, Wohlriechendes Veilchen","Stauden"
"Viola x wittrockiana 'Sorte'","Garten-Stiefmütterchen","Beet- und Balkonpflanzen, Wechselflor"
"Vitis 'Sorte'","Weinrebe, Tafeltraube, Weintraube","Obstgehölze"
"Waldsteinia ternata","Dreiblättrige Waldsteinie, Teppich-Golderdbeere","Stauden"
"Weigela 'Bristol Ruby'","Weigelie, Glockenstrauch","Laubgehölze"
"Wisteria sinensis","Chinesischer Blauregen, Glyzine","Laubgehölze"
"x Cupressocyparis leylandii","Leylandzypresse, Grüne Baumzypresse","Nadelgehölze"
"Yucca filamentosa","Palmlilie, Fädige Palmlilie","Stauden"
"Zinnia elegans 'Sorte'","Garten-Zinnie, Pracht-Zinnie","Beet- und Balkonpflanzen, Wechselflor"
